날짜,종가,전일비,시가,고가,저가,거래량
2018.07.06,749000.0,16000.0,755000.0,758000.0,746000.0,77825.0
2018.07.05,765000.0,3000.0,756000.0,769000.0,756000.0,57319.0
2018.07.04,768000.0,21000.0,769000.0,779000.0,760000.0,179939.0
2018.07.03,747000.0,4000.0,759000.0,763000.0,743000.0,86305.0
2018.07.02,751000.0,12000.0,765000.0,765000.0,745000.0,107918.0
2018.06.29,763000.0,16000.0,750000.0,764000.0,748000.0,155915.0
2018.06.28,747000.0,8000.0,738000.0,751000.0,726000.0,136537.0
2018.06.27,739000.0,4000.0,747000.0,748000.0,739000.0,87276.0
2018.06.26,735000.0,13000.0,742000.0,746000.0,730000.0,107528.0
2018.06.25,748000.0,25000.0,728000.0,750000.0,727000.0,255266.0
2018.06.22,723000.0,24000.0,690000.0,724000.0,690000.0,160314.0
2018.06.21,699000.0,10000.0,685000.0,703000.0,684000.0,117882.0
2018.06.20,689000.0,1000.0,689000.0,692000.0,687000.0,106479.0
2018.06.19,688000.0,6000.0,690000.0,694000.0,688000.0,110322.0
2018.06.18,694000.0,4000.0,690000.0,695000.0,686000.0,105859.0
2018.06.15,690000.0,17000.0,705000.0,706000.0,687000.0,140302.0
2018.06.14,707000.0,10000.0,719000.0,725000.0,705000.0,158911.0
2018.06.12,717000.0,6000.0,712000.0,719000.0,704000.0,124267.0
2018.06.11,711000.0,10000.0,701000.0,712000.0,695000.0,137850.0
2018.06.08,701000.0,21000.0,680000.0,708000.0,680000.0,188291.0
2018.06.07,680000.0,6000.0,675000.0,682000.0,674000.0,78181.0
2018.06.05,674000.0,1000.0,678000.0,680000.0,664000.0,67152.0
2018.06.04,673000.0,7000.0,681000.0,687000.0,671000.0,81871.0
2018.06.01,680000.0,11000.0,674000.0,686000.0,672000.0,91461.0
2018.05.31,669000.0,17000.0,660000.0,671000.0,654000.0,210193.0
2018.05.30,652000.0,16000.0,667000.0,670000.0,648000.0,133965.0
2018.05.29,668000.0,12000.0,679000.0,680000.0,667000.0,93537.0
2018.05.28,680000.0,5000.0,685000.0,687000.0,679000.0,54086.0
2018.05.25,685000.0,5000.0,685000.0,694000.0,682000.0,75755.0
2018.05.24,680000.0,4000.0,682000.0,685000.0,678000.0,44487.0
2018.05.23,684000.0,2000.0,680000.0,688000.0,677000.0,86056.0
2018.05.21,682000.0,6000.0,686000.0,690000.0,676000.0,101118.0
2018.05.18,688000.0,9000.0,697000.0,700000.0,684000.0,113041.0
2018.05.17,697000.0,3000.0,700000.0,703000.0,697000.0,92363.0
2018.05.16,700000.0,11000.0,712000.0,715000.0,698000.0,124013.0
2018.05.15,711000.0,6000.0,714000.0,718000.0,711000.0,79945.0
2018.05.14,717000.0,0.0,720000.0,722000.0,714000.0,57749.0
2018.05.11,717000.0,3000.0,721000.0,729000.0,714000.0,109545.0
2018.05.10,720000.0,7000.0,730000.0,735000.0,718000.0,83361.0
2018.05.09,727000.0,4000.0,730000.0,740000.0,723000.0,95131.0
2018.05.08,731000.0,14000.0,727000.0,738000.0,721000.0,97455.0
2018.05.04,717000.0,10000.0,725000.0,735000.0,717000.0,102357.0
2018.05.03,727000.0,11000.0,739000.0,745000.0,726000.0,63328.0
2018.05.02,738000.0,22000.0,726000.0,739000.0,724000.0,101865.0
2018.04.30,716000.0,0.0,721000.0,721000.0,712000.0,79731.0
2018.04.27,716000.0,9000.0,725000.0,727000.0,712000.0,209837.0
2018.04.26,725000.0,18000.0,732000.0,746000.0,725000.0,214225.0
2018.04.25,743000.0,18000.0,726000.0,751000.0,724000.0,123783.0
2018.04.24,725000.0,10000.0,735000.0,735000.0,722000.0,99598.0
2018.04.23,735000.0,7000.0,727000.0,738000.0,727000.0,62432.0
2018.04.20,728000.0,10000.0,738000.0,745000.0,726000.0,95897.0
2018.04.19,738000.0,14000.0,742000.0,748000.0,734000.0,124519.0
2018.04.18,752000.0,4000.0,751000.0,758000.0,750000.0,83269.0
2018.04.17,748000.0,3000.0,754000.0,758000.0,745000.0,88425.0
2018.04.16,751000.0,13000.0,765000.0,765000.0,750000.0,78420.0
2018.04.13,764000.0,7000.0,758000.0,766000.0,753000.0,68271.0
2018.04.12,757000.0,14000.0,769000.0,771000.0,755000.0,111805.0
2018.04.11,771000.0,4000.0,772000.0,781000.0,769000.0,61650.0
2018.04.10,775000.0,1000.0,771000.0,783000.0,769000.0,79128.0
2018.04.09,774000.0,4000.0,769000.0,774000.0,764000.0,58079.0
2018.04.06,770000.0,9000.0,776000.0,782000.0,766000.0,76814.0
2018.04.05,779000.0,25000.0,764000.0,779000.0,762000.0,94462.0
2018.04.04,754000.0,31000.0,782000.0,786000.0,747000.0,165929.0
2018.04.03,785000.0,0.0,798000.0,799000.0,780000.0,68203.0
2018.04.02,785000.0,7000.0,783000.0,792000.0,782000.0,79620.0
2018.03.30,792000.0,6000.0,794000.0,799000.0,786000.0,57761.0
2018.03.29,786000.0,2000.0,784000.0,790000.0,778000.0,67560.0
2018.03.28,784000.0,5000.0,787000.0,793000.0,777000.0,52460.0
2018.03.27,789000.0,0.0,800000.0,800000.0,786000.0,56632.0
2018.03.26,789000.0,6000.0,778000.0,790000.0,777000.0,55239.0
2018.03.23,783000.0,20000.0,788000.0,792000.0,780000.0,97868.0
2018.03.22,803000.0,9000.0,799000.0,805000.0,798000.0,67346.0
2018.03.21,794000.0,1000.0,795000.0,798000.0,792000.0,84913.0
2018.03.20,795000.0,10000.0,777000.0,796000.0,774000.0,88391.0
2018.03.19,785000.0,16000.0,801000.0,802000.0,782000.0,120014.0
2018.03.16,801000.0,19000.0,816000.0,817000.0,797000.0,143598.0
2018.03.15,820000.0,11000.0,813000.0,824000.0,807000.0,68305.0
2018.03.14,809000.0,11000.0,813000.0,814000.0,801000.0,75328.0
2018.03.13,820000.0,14000.0,806000.0,826000.0,803000.0,121223.0
2018.03.12,806000.0,4000.0,808000.0,815000.0,804000.0,69011.0
2018.03.09,802000.0,3000.0,803000.0,814000.0,797000.0,85805.0
2018.03.08,799000.0,4000.0,798000.0,799000.0,791000.0,79218.0
2018.03.07,795000.0,1000.0,804000.0,805000.0,791000.0,72110.0
2018.03.06,796000.0,17000.0,786000.0,800000.0,782000.0,78012.0
2018.03.05,779000.0,7000.0,786000.0,790000.0,779000.0,79122.0
2018.03.02,786000.0,17000.0,794000.0,800000.0,772000.0,217305.0
2018.02.28,803000.0,1000.0,808000.0,818000.0,802000.0,390265.0
2018.02.27,804000.0,6000.0,810000.0,813000.0,801000.0,142978.0
2018.02.26,810000.0,19000.0,834000.0,834000.0,808000.0,127128.0
2018.02.23,829000.0,2000.0,831000.0,842000.0,820000.0,70864.0
2018.02.22,827000.0,6000.0,831000.0,837000.0,819000.0,72242.0
2018.02.21,833000.0,26000.0,810000.0,836000.0,809000.0,141568.0
2018.02.20,807000.0,13000.0,818000.0,818000.0,804000.0,67201.0
2018.02.19,820000.0,9000.0,830000.0,830000.0,815000.0,83337.0
2018.02.14,811000.0,6000.0,812000.0,819000.0,808000.0,74164.0
2018.02.13,805000.0,5000.0,813000.0,822000.0,803000.0,137025.0
2018.02.12,800000.0,8000.0,817000.0,817000.0,798000.0,190743.0
2018.02.09,808000.0,35000.0,817000.0,830000.0,806000.0,158070.0
2018.02.08,843000.0,0.0,860000.0,860000.0,842000.0,102950.0
2018.02.07,843000.0,8000.0,870000.0,872000.0,840000.0,95763.0
2018.02.06,851000.0,28000.0,864000.0,878000.0,838000.0,154539.0
2018.02.05,879000.0,26000.0,905000.0,905000.0,877000.0,96967.0
2018.02.02,905000.0,18000.0,930000.0,932000.0,902000.0,82151.0
2018.02.01,923000.0,13000.0,910000.0,932000.0,909000.0,80607.0
2018.01.31,910000.0,21000.0,933000.0,945000.0,910000.0,125184.0
2018.01.30,931000.0,1000.0,928000.0,950000.0,923000.0,102118.0
2018.01.29,932000.0,5000.0,923000.0,948000.0,922000.0,102916.0
2018.01.26,927000.0,14000.0,913000.0,929000.0,910000.0,111369.0
2018.01.25,913000.0,35000.0,878000.0,922000.0,867000.0,169190.0
2018.01.24,878000.0,11000.0,889000.0,889000.0,870000.0,118121.0
2018.01.23,889000.0,4000.0,899000.0,899000.0,884000.0,80475.0
2018.01.22,893000.0,12000.0,884000.0,893000.0,882000.0,75543.0
2018.01.19,881000.0,22000.0,905000.0,907000.0,880000.0,100565.0
2018.01.18,903000.0,15000.0,893000.0,906000.0,893000.0,90308.0
2018.01.17,888000.0,15000.0,903000.0,906000.0,888000.0,107026.0
2018.01.16,903000.0,18000.0,919000.0,924000.0,893000.0,95302.0
2018.01.15,921000.0,12000.0,917000.0,925000.0,911000.0,59200.0
2018.01.12,909000.0,8000.0,920000.0,930000.0,901000.0,89414.0
2018.01.11,917000.0,11000.0,928000.0,934000.0,909000.0,93854.0
2018.01.10,928000.0,16000.0,943000.0,975000.0,927000.0,120097.0
2018.01.09,944000.0,6000.0,944000.0,952000.0,933000.0,78027.0
2018.01.08,950000.0,42000.0,915000.0,953000.0,908000.0,196338.0
2018.01.05,908000.0,15000.0,893000.0,918000.0,880000.0,136811.0
2018.01.04,893000.0,22000.0,879000.0,897000.0,873000.0,130112.0
2018.01.03,871000.0,14000.0,876000.0,884000.0,864000.0,84790.0
2018.01.02,885000.0,15000.0,871000.0,885000.0,870000.0,93587.0
